ConditionTested.TestID;Expr1001;OrderRemarks;Lpp;;Tmean/Lpp;B/Tmean;LCG/Lpp;Fn;Pdiam/Tmean;RudArea/(Lpp*Tmean);Trim=(Taft-Tfore)/Lpp;;Beam;DraughtAP;DraughtFP;LCG;ApproachSpeed;PropellerDiameter;RudderAreaTot;BlockCoefficient;yv;yvabsv;yvlin;nv;nvabsv;;nvlin;yr;yrrr;nr;nrrr;xvv;xrr;xvr;yvrr;yrvv;yrabsv;yvabsr;nvrr;nrvv;nrabsv;nvabsr;xudot;yvdot;yrdot;nvdot;nrdot;xudot;yvdot;yrdot;nvdot;nrdot;xv;yvv;nvv;y0;n0;Expr1;nvu;yvu;yru;nru;hydrocoefficientsremarks;stabilitycriterion;slopeRDcurve0dim;slopeRDcurve1s;yd;nd;Expr1054;OrderNumber;PropellerRevolutions;HydroDynamicCoefficients.TestID;NumberOfPropellers;NumberOfRudders
190;87034;lcg changed from -3.46 to -4.79, and displacement viloume changed from 72116 to 69931,see pmm report;280;;0.043571429;2.640983607;-0.01713;0.255080389;0.68442623;0.0154274;0;;32.22;12.2;12.2;-4.7964;26;8.35;52.7;0.635369467;-563.5;-5990.9;-948.4;-458.6;-424.1;0.924771042;-571;90.5;-218.2;-222.7;-233.8;-40.5;-54.4;361;897;-1341;-300;-2120;-461;-2205;-604;-22;-38.5;-846.3;-30.7;55.4;-36.3;-7678.765862;-168793.235;-6123.067843;11049.4449;-7239.979241;3.7;106.2;-99;0.7;-0.8;1;0;0;0;0;9998;9998;9998;9998;208;-107.8;190;87034;92;190;1;1
194;92087;9998;150.6;;0.063081009;2.526315789;-0.016135458;0.24079239;0.621052632;0.018005172;0;;24;9.5;9.5;-2.43;18;5.9;25.76;0.645750332;-1533.3;-5361.7;-1812.4;-923.5;-100;0.108283703;-944.8;254.3;-248;-375.9;-212.6;-96.8;19.5;1030.1;0;0;-507.1;-1748.8;0;0;-1131.9;-192.1;-77.9;-1397.8;-66.8;31;-64.4;-7749.123;-139046.5228;-6644.947579;3083.733158;-6406.206947;-6.5;190.4;-18.3;-2.1;-1.1;1;0;0;9998;9998;refitted after removal of yvu and nvu;9998;9998;9998;336.6;-167.4;194;92087;109;194;1;1
196;92087;<Added 3.6 sqm Fin and enlarged rudder>;150.6;;0.063081009;2.526315789;-0.016135458;0.24079239;0.621052632;0.020619277;0;;24;9.5;9.5;-2.43;18;5.9;29.5;0.645750332;-1608;-5479;-1812.4;-850;211;-0.248235294;-944.8;289.5;-248;-395.7;-212.6;-597.8;-144.4;1030.1;0;0;-507.1;-1748.8;0;0;-1131.9;-192.1;-77.9;-1397.8;-66.8;31;-64.4;-7749.123;-139046.5228;-6644.947579;3083.733158;-6406.206947;-108.8;141.2;-222.4;-2.1;-1.1;1;0;0;9998;9998;Her er noget galt med koefficienterne pmm rap.;9998;9998;9998;405.6;-217.1;196;92087;109;196;1;1
198;92944;<lindø 135, files made by ole vvith ordernumber 89104  should be excluded.>;152;;0.067763158;2.699029126;-0.026315789;0.227696867;0.553398058;0.016434594;0;;27.8;10.3;10.3;-4;17.1;5.7;25.73;0.654540241;-1873;-4870;-2268;-880.5;-269.5;0.306076093;-926;298.9;-128.9;-375.8;-197.3;-178.2;-9.5;728.9;0;0;-590;-1380.5;0;0;-1146;-199.9;-97.6;-1548.9;-80.7;-26.6;-56.3;-7875.079975;-124976.551;-6511.464692;-2146.282042;-4542.694699;-1.6;195.5;-61.4;-3.7;-0.8;1;0;0;9998;9998;refitted after removal of yvu and nvu;9998;9998;9998;313.4;-168.3;198;92944;117;198;1;1
200;96131;<PAN-United crude oil tanker>;152;;0.046052632;3.857142857;0.019539474;0.186418487;0.614285714;0.025;0;;27;7;7;2.97;14;4.3;26.6;0.81547619;-958;-2086;-958.1;-556;524;-0.942446043;-556.1;194.2;17.4;-244.7;120;1020;6.5;880.1;0;0;164.8;-525.9;0;0;-269.5;-4.6;-80;-939.2;-45.5;-21.6;-51.6;-9779.470899;-114810.9884;-5562.074074;-2640.457143;-6307.75873;0;0;0;3;-4.1;1;0;0;9998;9998;refitted after removal of Yrabsr Nrabsr yvu nvu;9998;9998;9998;313.9;-151.4;200;96131;154;200;1;1
201;97291;<Halla tanker>;205;;0.062439024;2.890625;0.032195122;0.177720491;0.53125;0.022217988;0;;37;12.8;12.8;6.6;15.5;6.8;58.3;0.804507251;-1475.7;-6042;-2140.7;-881.1;473;-0.536828964;-777.7;353.2;706;-429.6;35.35;209.8;75.2;1967.5;-447.5;41.6;358.7;-435.1;181.8;-810.9;-261.7;-335.4;-108.8;-1532.3;-46.9;-16.5;-76.8;-9654.391892;-135968.977;-4161.681799;-1464.131123;-6814.864865;-35.2;52.5;-35.8;1.1;1.2;1;0;0;9998;9998;refitted after removal of yvu and nvu;9998;9998;9998;415.1;-203.4;201;97291;95;201;1;1
202;91179;<LPG/Ammonia carrier Hyundai No. 775>;152.2;;0.071616294;2.348623853;-0.004402102;0.233535298;0.550458716;0.020398076;0;;25.6;10.9;10.9;-0.67;17.55;6;33.84;0.762964103;-2080.5;-3658;-2421.2;-1088.6;503;-0.462061363;-1082.8;435.4;109.2;-440.9;-128.1;-250.2;10.5;1084.5;0;0;-194.1;-1421;0;0;-924.7;-238.7;-110.3;-1882.9;-89.2;-65.9;-88;-9156.686683;-156311.2;-7405.044897;-5470.767474;-7305.425459;30.6;168.7;-31.1;3.3;-0.8;1;0;0;9998;9998;refitted after removal of yvu and nvuJBP by hand;9998;9998;9998;346.4;-187.8;202;91179;113;202;1;1
203;87131;<Projekt skib, produkt tanker, lastet, projekt A>;115;;0.065217391;2.533333333;-0.00842;0.229628123;0.693333333;0.030144928;0;;19;7.5;7.5;-0.9683;15;5.2;26;0.669900839;-1782.2;-6766.3;-2372.2;-1009.7;-251.9;0.249480044;-981;385.5;-239.1;-447;-296.6;-290.6;-18.7;1027.4;-1308.5;4617.9;-2169;0;-251.8;2472.1;-2255.9;9998;-87;-1558.6;-30.2;43.8;-78.8;-8074.210526;-144649.0175;-2802.77193;4064.947368;-7313.192982;-70.8;-182.7;-106;12;-4.7;1;0;0;0;0;JBP by hand;-6.808E-07;150.7;10.1118;473.9;-236.5;203;87131;101.4;203;1;1
204;7173;I familie med testid 4 bare forkortet, pmm rapport for testid 4 mangler. Dene her er I napa (p5117);337.4;;0.066034381;2.531418312;0.030883225;0.141210596;0.435368043;0.017226994;0;;56.4;22.28;22.28;10.42;15.8;9.7;129.5;0.8206609;-1742;-4993;-2265;-1014.4;571.9;-0.563781546;-928;543.8;54.5;-380.9;-130;203;22.5;1102;-2290;0;94;0;150;0;-660;9998;-110;-1791;-82;-63.1;-101.1;-9965.258095;-162252.5204;-7428.646943;-5716.434416;-9158.978122;-22.4;0;0;-10.2;-0.1;1;0;0;0;0;bla by hand;-1.872;3.97;0.0956;374.6;-174.6;204;7173;76;204;1;1
209;94020;GDANSKA;195;;0.061538462;2.566666667;0.034871795;0.154005676;0.558333333;0.02357265;0;;30.8;12;12;6.8;13.1;6.7;55.16;0.821345321;-1701;-3495;-1701.3;-829;336;-0.4053076;-829;444.6;166.4;-313.1;-61;83.2;18.6;1185;0;0;322.9;-928.8;0;0;-518.9;-90.7;-95.8;-1457.9;-78.7;-75.1;-53.2;-9856.047078;-149990.9294;-8096.773539;-7726.400162;-5473.295455;35;0;0;0;0;1;0;0;0;0;BLA BY HAND;-3.27E-15;2.1;0.07256;423.6;-198.7;209;94020;86;209;1;1
217;2000116;<Hyundai 164400 tanker, kun de refittede coefs er indtastet>;266;;0.057894737;3.441558442;0.033759398;0.138906;0.525974026;0.028683722;0;;53;15.4;15.4;8.98;13.8;8.1;117.5;0.830701785;-1601.8;-4000;-1601.8;-484.9;-150;0.309342132;-484.9;418.8;336;-337.9;-103;22.2;-59.1;1140.9;-319.4;-161;484.7;-1133.9;93.4;-440.1;-258.8;60;-301.2;-1220.1;-48.6;-59.1;-61.9;-26110.88851;-105769.9039;-4213.111492;-5123.35163;-5366.082333;-227.1;-138.8;-131.5;20;-1.1;1;0;0;0;0;BLA BY HAND refittet;9998;9998;9998;502;-220.3;217;2000116;80.3;217;1;1
218;2000116;<Hyundai 164400 tanker, kun de refittede coefs er indtastet, smaller rudder>;266;;0.057894737;3.441558442;0.033759398;0.138906;0.525974026;0.024167562;0;;53;15.4;15.4;8.98;13.8;8.1;99;0.830701785;-1685.6;-3500;-1685.6;-569.6;21;-0.036867978;-569.9;383.5;313;-323.4;-97;124.4;-47.3;1151.2;-422;335.2;272.5;-1154.8;105.1;-570;-212.1;-11.1;-304.1;-1203.1;-56;-66.1;-61.9;-26362.28816;-104296.1818;-4854.614065;-5730.178388;-5366.082333;-91.6;278.7;-107.7;7.6;-3.4;1;0;0;0;0;BLA BY HAND refittet;9998;9998;9998;455.2;-194.9;218;2000116;80.3;218;1;1
220;91080;<Tobias Maersk report no 6>;155.52;;0.061021091;2.971548999;-0.027199074;0.218523276;0.62170706;0.022105384;0;;28.2;9.49;9.49;-4.23;16.6;5.9;32.625;0.633229957;-1227.6;-4983.7;-1638.7;-642.8;-188.9;0.293870566;-833.6;301.7;-100.3;-342.9;-184.1;-599;25.1;908.3;0;0;-536.1;-2032.4;0;0;-984;-242.8;-90;-1404.4;-48.4;11.8;-56.1;-8133.916015;-126925.2406;-4374.239279;1066.446766;-5070.140982;185.3;306.5;-40.6;0;6.4;1;0;0;0;0;BLA BY HAND refittet;9998;9998;9998;782.2;-397.9;220;91080;115;220;1;1
5;7173;<>;353.3;;0.029153694;5.475728155;0.025474101;0.157211179;0.941747573;0.024732137;0.007359185;;56.4;11.6;9;9;18;9.7;90;0.778599447;-633.3;-1039.8;-655;-193.5;212.2;-1.096640827;-186;185.3;115.4;-117.9;-95.7;-167.3;-45.1;305;-760;0;450;9998;60;0;-340;9998;-44;-453;-1.5;15.3;-28.3;-9454.174688;-97335.02577;-322.3014098;3287.47438;-6080.753266;2;9998;9998;-0.2;-1.9;1.288888889;0;0;0;0;<>;-1.102;9.457;0.2479;203.4;-101.3;5;7173;74;5;1;1
11;7191;<BALLAST>;321.6;;0.042210821;4.018416206;0.025435323;0.146468657;0.618637201;0.026570646;0.00824005;;54.55;14.9;12.25;8.18;16;8.398;116;0.793197478;-929.3;-2133.5;-1130;-358.6;148.6;-0.414389292;-341;291.6;147.6;-188.1;-109.5;-168.3;-46;513.8;-384;786;0;9998;493;-772;0;9998;-68.8;-754.8;-16;-14.3;-49.1;-9609.171072;-105421.5454;-2234.690947;-1997.255034;-6857.707844;9.9;9998;9998;-0.4;1;1.216326531;0;0;0;0;<>;-4.267;5.103;0.1306;249.2;-117.5;11;7191;92.5;11;1;1
13;7225;<BALLAST>;325;;0.035584615;4.58279291;0.025538462;0.167555574;0.786856896;0.028840334;0.009446154;;53;13.1;10.03;8.3;18.4;9.1;108.4;0.791738749;-893;-1452.1;-1020;-193.4;130.7;-0.675801448;-185;274;191.1;-172.5;-92.4;-4.1;-40;387;-750;970;0;9998;180;-900;0;9998;-62;-565.7;-4;-6.6;-38.1;-10684.07443;-97483.56296;-689.2951244;-1137.336955;-6565.53606;-11.3;9998;9998;-2;0.6;1.306081755;0;0;0;0;<    >;8.058;-2.226;-0.0648;261.7;-128.4;13;7225;79.1;13;1;1
24;74004;<CASE 2, L/B=4.5>;398;;0.02968593;7.482014388;0.016331658;0.147297112;0.964875159;0.038959078;0.015;;88.4;14.8;8.83;6.5;17.9;11.4;183.2;0.734923529;-673.7;-1546;-757;-135.2;378.5;-2.799556213;-100;237.4;237.6;-158.9;-54.4;-73.5;-45.5;398;-685;-1104;671;0;300;-243;-160;0;-58;-453;18.6;31.7;-40.6;-8796.464346;-68703.4198;2820.935118;4807.722754;-6157.525042;7.5;-116.8;25.3;1.1;-1.3;1.67610419;0;0;0;0;<>;5.908;-2.926;-0.0677;370.1;-179.5;24;74004;65.5;24;1;1
31;74006;<BALLAST>;387.9;;0.02900232;5.964444444;0.024851766;0.150035957;0.88;0.03877288;0.00644496;;67.1;12.5;10;9.64;18;9.9;169.2;0.769599306;-564.3;-1107.7;-577.7;-178.6;183.5;-1.02743561;-171;205;91.7;-129.6;-67.3;285.8;-41.1;407;-627;0;198;0;149;0;-163;0;-46.3;-409.5;1.7;11.2;-30.5;-9228.805806;-81624.10319;338.8546408;2232.454104;-6079.450909;0.4;6.1;-20.4;1.8;-1;1.25;0;0;0;0;<>;-1.109;8.712;0.208;211.1;-104.7;31;74006;77.6;31;1;1
41;75148;<61.2 - BALLASTED>;233.9;;0.02960667;4.638267148;0.006669517;0.190531148;0.80866426;0.030066229;0.012184694;;32.12;8.35;5.5;1.56;17.75;5.6;48.7;0.761975445;-604;-1306;-662;-184;332;-1.804347826;-150;201;233;-132;-69.4;-141;-21.1;334;-1382;0;476;0;338;0;-309;0;-37.2;-467;18.5;31.2;-29.8;-9149.725587;-114863.4906;4550.266757;7673.963395;-7329.618884;18.2;100;-31.6;1.8;-0.6;1.518181818;0;0;0;0;<>;2.398;-4.838;-0.1889;240;-118;41;75148;122;41;1;1
64;79067;<GASTANKER T=7/8.5 M>;127;;0.061023622;2.64516129;-0.010944882;0.145673608;0.612903226;0.024140208;0.011811024;;20.5;8.5;7;-1.39;10;4.75;23.76;0.689444111;-1600;-3900;-2100;-470;-180;0.382978723;-500;500;130;-292;-262;-150;-67;922;-2003;-2570;1064;-334;-155;-763;-642;125;-81.5;-1129;-41.6;-37.7;-64.9;-8273.88513;-114616.1511;-4223.234618;-3827.306373;-6588.652085;0;100;-20;-5.3;2;1.214285714;0;0;0;0;<>;1.529;-3.77;-0.1527;384;-183;64;79067;79;64;1;1
66;79191;<NO.89-92 BALLAST>;142;;0.040492958;4.347826087;-0.010633803;0.258998003;1.031304348;0.033802817;0.011971831;;25;6.6;4.9;-1.51;18.8;5.93;27.6;0.69134109;-900;-2280;-1300;-177;-180;1.016949153;-200;413;17;-212;-126;100;-59.6;380;-1489;-1245;623;0;140;0;-521;0;-59.1;-732;14.7;31.7;-56.1;-8290.034087;-102678.5948;2061.988174;4446.600348;-7869.220174;-35;0;0;1.5;-0.1;1.346938776;0;0;0;0;<>;1.474;-1.754;-0.1194;305;-152;66;79191;120.7;66;1;1
70;80215;<COAL SHIP D=9.4M. LCG CHANGED FROM -0.15m to 5.56m da det er dette tal der står på hydrostatiksiden før mcsim siden, vi tror altså at mcsim siden er forkert>;258;;0.036434109;4.468085106;0.021550388;0.160462124;0.823829787;0.020616856;0.00620155;;42;10.2;8.6;5.56;15.7;7.744;50;0.799688587;-650;-1900;-890;-280;240;-0.857142857;-220;306;83.6;-189.7;-44.3;170;-119;301;0;-1204;758;-266;0;78;-279;-11;-56.9;-608.5;-29.2;-6.2;-40.7;-9593.443769;-102594.2097;-4923.173252;-1045.331307;-6862.094225;30;-50;-20;-1.2;-2.5;1.186046512;0;0;0;0;<>;2.695;-5.881;-0.1841;239;-119;70;80215;88.5;70;1;1
73;81026;<BALLAST D=5.6/8.64M>;226.5;;0.031434879;5.603932584;0.010375276;0.189800732;1.081460674;0.040057544;0.013421634;;39.9;8.64;5.6;2.35;17.4;7.7;64.6;0.759193293;-594;-1319;-806;-217;321;-1.479262673;-140;227;89;-145;-26;223;-80;337;0;0;395;9491;0;0;-241;73;-50.4;-497;-1;16;-34;-9101.522768;-89751.12729;-180.5857692;2889.372307;-6139.916153;-59;54;-27;0;-3.8;1.542857143;0;0;0;0;<>;3.49;-3.965;-0.1567;254;-126;73;81026;90;73;1;1
83;83081;<2129, BALLAST>;173.5;;0.037463977;4.953846154;0.009106628;0.205644426;1.030769231;0.032569275;0.017291066;;32.2;8;5;1.58;16.5;6.7;36.73;0.738346981;-1000;-1550;-1200;-230;350;-1.52173913;-135;369;131;-193;-79;170;-99;610;0;0;625;-779;0;0;-344;191;-61.6;-651;-3.4;12.3;-40.4;-8859.525084;-93629.07191;-488.9997611;1769.028548;-5810.46775;10;50;-50;4;-1.6;1.6;0;0;0;0;<>;1.54;-1.524;-0.0745;325;-159;83;83081;93.6;83;1;1
88;84013;<NB. 110 BALLAST>;186.4;;0.034871245;4.953846154;-0.027360515;0.258522438;1.076923077;0.034252228;0.017167382;;32.2;8.1;4.9;-5.1;21.5;7;41.5;0.64372556;-709;-2364;-828;-146;100;-0.684931507;-186;336;-87;-173;-63;224;-28;274;0;0;439;-873;0;0;-597;204;-46.5;-646;-5;39;-39;-7719.257716;-107239.5803;-830.0277114;6474.216149;-6474.216149;-113;24;16;-3.3;1.1;1.653061224;0;0;0;0;refitted after removal of yvu and nvu;4.392;-3.998;-0.2372;303;-144;88;84013;102;88;1;1
90;84203;<NB. 113, BALLAST>;164;;0.033841463;4.162162162;0.003170732;0.209722059;1.020720721;0.026807295;0.012804878;;23.1;6.6;4.5;0.52;16.36;5.665;24.4;0.72516292;-649.7;-1705.8;-888;-206.1;330.2;-1.602134886;-160;253;301;-148;-99;1.9;-98.5;444;0;0;683;-482;0;0;-436;-30;-41.5;-521;14.1;15.3;-35.9;-8706.243906;-109300.0741;2958.025038;3209.77185;-7531.425451;-17.2;194.9;-116.2;9.8;-3.1;1.466666667;0;0;0;0;<>;6.017;-2.524;-0.1295;242.6;-125.4;90;84203;113.7;90;1;1
191;87034;lcg changed from 0.0 to -11.86, and displacement changed from 40900 to 39807,see pmm report;280;;0.027678571;4.157419355;-0.042357143;0.260966859;1.077419355;0.024285714;0.013928571;;32.22;9.7;5.8;-11.86;26.6;8.35;52.7;0.569343254;-326.9;-3384.7;-568.1;-135.5;-13.4;0.098892989;-123;168.4;-263.2;-116;-155.6;138.2;-32.7;173;707;2614;-655;-1454;-281;-840;-511;98;-21.8;-359.6;2.7;47;-13.9;-6844.556577;-112903.7865;847.72031;14756.6128;-4364.189744;-22.6;129.1;-163.1;-0.2;-0.4;1.672413793;0;0;0;0;9998;9998;9998;9998;163.6;-79.7;191;87034;92;191;1;1
199;92944;<lindø 135, files made by ole vvith ordernumber 89104 should be excluded.>;152;;0.035197368;5.196261682;-0.046315789;0.246338715;1.065420561;0.026008362;0.016447368;;27.8;6.6;4.1;-7.04;18.5;5.7;21.15;0.553944449;-1049.1;-2000;-1329.6;-100;-100;1;23.8;346.1;-174.4;-179.2;-89.1;-34.6;-14.1;333.8;0;0;6.5;-329.8;0;0;-647.5;-12.2;-42.9;-385.8;14.8;-6.2;-22.6;-6664.167283;-59930.90298;2299.060042;-963.1197472;-3510.72682;9;155.6;-38.1;2.7;0.9;1.609756098;0;0;9998;9998;refitted after rem. of yvu,nvu, frit opf. U fract.;9998;9998;9998;221.3;-114.8;199;92944;108;199;1;1
1;7101;<>;139;;0.04028777;3.982142857;-0.032733813;0.299373805;0.696428571;0.032759507;0;;22.3;5.6;5.6;-4.55;21.5;3.9;25.5;0.575458915;-930.1;-4461.2;-1070;-349.1;-42.6;0.122028072;-350;221.7;-306.7;-237.2;-360.3;-25.7;-124.9;364;-870;0;-590;9998;250;0;-900;9998;-35;-678;-56.3;64.4;-32;-5415.078475;-104897.8059;-8710.540519;9963.744395;-4950.928892;0;9998;9998;0;0;1;0;0;0;0;<>;4.498;-4.103;-0.3265;208.5;-104.3;1;7101;175;1;2;2
22;73105;<CONTAINER SHIP, 2R,2P,TURBINE>;270;;0.037037037;3.22;-0.021666667;0.329696848;0.625;0.027518519;0;;32.2;10;10;-5.85;33;6.25;74.3;0.550954681;-500.5;-4084;-756;-194;-396.1;2.041752577;-282;254.6;-298.5;-210.7;-59.9;65.3;-36.2;165;-4820;-2250;0;9998;-689;-3900;0;9998;-29.2;-672.1;-32.1;48.1;-21;-6610.807453;-152161.7702;-7267.360248;10889.7205;-4754.347826;0;0;0;0;0;1;0;0;0;0;<>;8.586;-1.806;-0.1135;232.1;-118.5;22;73105;160;22;2;2
34;74007;<LOADED>;350;;0.068571429;3.290833333;0.011971429;0.136012998;0.38125;0.026190476;0;;78.98;24;24;4.19;15.5;9.15;220;0.812291237;-1449;-3629;-2240;-641;293;-0.457098284;-780;407.8;559.9;-340.3;-200;767;7.5;1552;-785;0;863;0;233;0;-516;0;-151;-1791;-34.8;-48.7;-98.5;-9758.535916;-115745.2836;-2248.987085;-3147.289398;-6365.667469;0;0;0;0;0;1;0;0;0;0;<>;-8.18;8.67;0.0198;382.5;-181.6;34;74007;80;34;2;2
72;81014;<FERRY, NORMAL RUDDER>;165;;0.038787879;3.90625;-0.05430303;0.191704375;0.8203125;0.031818182;0;;25;6.4;6.4;-8.96;15;5.25;33.6;0.565757576;-730;-5000;-900;-190;-450;2.368421053;-270;190;-55;-159;-247;0;-69.7;383;0;0;-421;-1310;0;0;-860;-49;-40;-557;0;54;-28;-6806.25;-94777.03125;0;9188.4375;-4764.375;-6.3;-100;-40;2.7;0.2;1;0;0;0;0;<>;-1.765;1.49;0.6967;357;-185;72;81014;115;72;2;2
75;81068;<FERRY, D=6.14, NORMAL RUDDER>;117.3;;0.052344416;3.501628664;-0.006223359;0.181892578;0.628664495;0.015828453;0;;21.5;6.14;6.14;-0.73;12;3.86;11.4;0.592259247;-850;-2700;-1040;-235;150;-0.638297872;-350;314;124;-157;-60;100;8;326;0;0;457;-265;0;0;-288;-75;-68;-708;-13;4;-32;-7087.582153;-73794.23771;-1354.978941;416.9165972;-3335.332778;10;-100;-30;-3;1;1;0;0;0;0;<>;-1.319;1.895;0.0997;331;-129;75;81068;113;75;2;2
79;82076;<CRUISER>;196.5;;0.039694656;3.743589744;-0.044173028;0.14053442;0.666666667;0.021530632;0;;29.2;7.8;7.8;-8.68;12;5.2;33;0.540567233;-700;-5000;-850;-160;-1280;8;-300;103;-250;-157;-207;212;-16;399;0;0;-1206;-1346;0;0;-739;-167;-38.3;-567;-13.4;24.8;-34;-6493.015345;-96123.75198;-2271.707719;4204.354584;-5764.03451;0;0;0;0;0;1;0;0;0;0;<>;-5.091;3.393;0.1066;250;-115;79;82076;67.2;79;2;2
81;82157;<CRUISE  LINER>;183;;0.040983607;3.733333333;-0.026775956;0.236641987;0.693333333;0.029872495;0;;28;7.5;7.5;-4.9;19.5;5.2;41;0.64163414;-606;-3718;-811;-178;-366;2.056179775;-331;228;-158;-182;-254;-335;-52;407;0;0;-458;-1419;0;0;-744;-256;-48;-640;-16;36;-35;-7654.628571;-102061.7143;-2551.542857;5740.971429;-5581.5;0;0;0;0;0;1;0;0;0;0;<>;-6.076;3.544;0.1942;283;-150;81;82157;134;81;2;2
86;83131;<AARHUS-KALUNDB.>;126;;0.043650794;4.363636364;-0.024206349;0.146250536;0.745454545;0.03001443;0;;24;5.5;5.5;-3.05;10;4.1;20.8;0.643819144;-1066;-3978;-1040;-267;-239;0.895131086;-267;168;-112;-300;-130;358;-24;545;926;895;-851;-1491;160;1145;-1023;-396;-66;-734;1;5;-51;-7938;-88280.18182;120.2727273;601.3636364;-6133.909091;0;0;0;0;0;1;0;0;0;0;<>;4.405;-5.672;-0.2316;336;-154;86;83131;165;86;2;2
93;84233;<TAO 187, #61, FAST TANKER, rudder area changed from 98.5 to 49 da begge rors areal inklusive horns er ca 100>;198.12;;0.052695336;2.846743295;0.00701595;0.209938013;0.75862069;0.02369012;0;;29.72;10.44;10.44;1.39;18;7.92;49;0.655777818;-1185.6;-3663.9;-1272.2;-272.2;-343.8;1.263041881;-51;529;5.9;-305;-148;237.6;-5.7;566;0;0;266;-1354;0;0;-808;-68;-66.3;-1297;-18.4;11.7;-71.6;-8387.274623;-164076.8505;-2327.690091;1480.107286;-9057.750573;0;0;0;0;0;1;0;0;0;0;<>;1.37;-4.267;-0.1994;539.4;-242;93;84233;52.3;93;2;2
97;85192;<2 RUD., 137M>;137;;0.041459854;4.049295775;-0.032919708;0.16830759;0.633802817;0.028451732;0;;23;5.68;5.68;-4.51;12;3.6;22.14;0.647067106;-693.3;-2542;-803.7;-184.8;-366.1;1.981060606;-280;285;-125;-187.1;-119.5;155.2;-32.4;579;0;0;-492;-979;0;0;-533;-149;-54;-711.5;-12.6;1.8;-47;-7758.159829;-102220.9392;-1810.237293;258.6053276;-6752.472443;0;0;0;0;0;1;0;0;0;0;<>;-4.815;5.373;0.2421;382.6;-186.9;97;85192;138;97;2;2
172;81146;<DR. INGRID, EVEN KEEL, NO CHECK WITH PMM REPORT>;136.53;;0.037354428;4.529411765;-0.025928367;0.140497531;0.82745098;0.032744366;0;;23.1;5.1;5.1;-3.54;10;4.22;22.8;0.637815081;-960;-2039;-960;-140;-500;3.571428571;-140;170;0;-200;-150;206;-82;365;0;0;-652;-888;0;0;-659;-62;-49;-380;27.4;14.8;-32.4;-7753.005722;-60125.3505;4335.35422;2341.724177;-5126.477253;0;0;0;0;0;1;0;0;0;0;9998;9998;9998;9998;426;-219;172;81146;145;172;2;2
186;90101;<TIRRENIA, TWIN SCREW FERRY>;118;;0.045762712;4.372222222;-0.037288136;0.151126886;0.666666667;0.035153798;0;;23.61;5.4;5.4;-4.4;10;3.6;22.4;0.554828369;-639.9;-3611;-934;-113.6;-318;2.799295775;-287;281;67;-210;-119;-271;-156;482;0;0;149;-1760;0;0;-634;120;-61;-697;41;48;-53;-6661.991937;-76121.44885;4477.732285;5242.223163;-5788.288076;0;0;0;0;0;1;0;0;0;0;refitted after removal of yvu and nvu;9998;9998;9998;351;-170;186;90101;156;186;2;2
189;96036;<TIRRENIA ISLAND FERRY<TWIN RUD.>;64.3;;0.054432348;4;-0.022083981;0.204728003;0.685714286;0.039102422;0;;14;3.5;3.5;-1.42;10;2.4;8.8;0.614784016;-1152.1;-3055.45;-1152.1;-554.4;700;-1.262626263;-554.4;297.4;281.7;-272.1;-175.8;-417.4;-128.3;885;0;0;253.1;-1992.4;0;0;-789.6;-93.6;-116.5;-1206.9;-44.4;3.9;-77.1;-9829.960918;-101835.02;-3746.354204;329.0716531;-6505.493449;0;0;0;0;0.8;1;0;0;0;0;refitted after removal of yvu and nvu;9998;9998;9998;648.6;-298.4;189;96036;206;189;2;2
211;98262;Fincantieri cond1 IV;138.8;;0.051873199;2.916666667;-0.012824207;0.292622219;0.625;0.02551633;0;;21;7.2;7.2;-1.78;21;4.5;25.5;0.623475215;-1346;-2650;-1588.9;-599;128.5;-0.214524207;-594.2;424.1;160;-333.4;-71;-435.2;-43;724;0;0;-268.4;-2118;0;0;-784.8;-130.4;-58.8;-1214;-49.6;27.2;-60.2;-7492.115556;-154684.1545;-6319.879788;3465.740529;-7670.499259;0;0;0;0;0;1;0;0;0;0;BLA BY HAND;9998;9998;9998;625.9;-302.2;211;98262;99;211;2;2
210;98262;Fincantieri cond1 II;138.8;;0.051873199;2.916666667;-0.012824207;0.209015871;0.625;0.02551633;0;;21;7.2;7.2;-1.78;15;4.5;25.5;0.623475215;-1364;-2623;-1459.8;-501;1.4;-0.002794411;-510.2;442;95;-306.1;-120.864;-702.4;-68.6;783.9;0;0;-469.2;-2022.7;0;0;-629.6;-238.2;-58.8;-1025.9;-39.7;27.5;-56.5;-7492.115556;-130717.0297;-5058.452169;3503.965608;-7199.056614;0;0;0;0;0;1;0;0;0;0;BLA BY HAND;9998;9998;9998;576.4;-265.2;210;98262;99;210;2;2
205;99158;moby lines fast roro vessel daewoo;162.1;;0.04318322;3.942857143;-0.046206046;0.348140857;0.771428571;0.034810963;0;;27.6;7;7;-7.49;27;5.4;39.5;0.582673324;-1196.4;-3671.7;-1196.4;-370;266;-0.718918919;-370;399;-78;-379.2;-110;259.2;36.2;264.5;723.5;-2035;-162.9;-2486.3;18.3;1147.8;-1173.6;-328.1;-51.4;-737.1;-3.2;57.9;-31.4;-6990.721915;-100250.2164;-435.2200414;7874.762624;-4270.596656;0;0;0;0;0;1;0;0;0;0;refittet by bla;0;0;0;462.9;-235.2;205;99158;135;205;2;2
