            0.4900   1.0200   1.5400 
-180.0000  -0.0610  -0.2370  -0.3820
-169.7000   0.0000  -0.1380  -0.2910
-164.7000   0.0390  -0.0810  -0.2300
-155.5000   0.1440   0.0310  -0.1030
-150.4000   0.2210   0.0930  -0.0310
-142.8000   0.3440   0.2040   0.0650
-131.3000   0.5600   0.4020   0.2300
-113.7000   0.9180   0.7680   0.6720
 -90.0000   0.8530   0.7890   0.6620
 -66.3000   1.0350   0.9500   0.8110
 -37.2000   0.5340   0.7340   0.8080
 -29.6000   0.4040   0.6310   0.7280
 -24.5000   0.3270   0.5280   0.6220
 -20.0000   0.2510   0.4000   0.4700
 -15.3000   0.1760   0.2510   0.2700
 -10.3000   0.0870   0.1990   0.3010
  -5.2000   0.1040   0.2520   0.3470
   0.0000   0.1110   0.2530   0.3620
   5.2000   0.0730   0.2130   0.3390
  10.3000   0.0310   0.1550   0.2930
  15.3000  -0.0100   0.0960   0.2310
  20.0000  -0.0600   0.0400   0.1660
  24.5000  -0.1180  -0.0010   0.1050
  29.6000  -0.1870  -0.0780   0.0360
  37.2000  -0.3160  -0.1930  -0.0600
  66.3000  -1.0460  -0.8750  -0.5760
  90.0000  -0.9170  -0.7640  -0.6620
 113.7000  -0.8750  -0.8530  -0.7360
 131.3000  -0.6320  -0.6890  -0.8250
 142.8000  -0.4650  -0.5950  -0.7800
 150.4000  -0.3670  -0.5720  -0.7210
 155.5000  -0.3010  -0.5000  -0.5960
 164.7000  -0.1670  -0.2380  -0.3090
 169.7000  -0.0890  -0.2090  -0.3540
 180.0000  -0.0610  -0.2370  -0.3820

