            0.4900   1.0200   1.5400 
-180.0000  -0.0060  -0.0320  -0.0730
-169.7000  -0.0020  -0.0200  -0.0570
-164.7000   0.0010  -0.0130  -0.0450
-155.5000   0.0090   0.0030  -0.0210
-150.4000   0.0150   0.0120  -0.0060
-142.8000   0.0260   0.0270   0.0110
-131.3000   0.0460   0.0530   0.0450
-113.7000   0.0410   0.0790   0.0960
 -90.0000   0.0395   0.0740   0.0940
 -66.3000   0.0512   0.0940   0.1250
 -37.2000   0.0269   0.0720   0.1230
 -29.6000   0.0205   0.0600   0.1120
 -24.5000   0.0171   0.0540   0.1050
 -20.0000   0.0149   0.0470   0.0880
 -15.3000   0.0118   0.0360   0.0580
 -10.3000   0.0079   0.0290   0.0690
  -5.2000   0.0086   0.0340   0.0760
   0.0000   0.0087   0.0330   0.0760
   5.2000   0.0068   0.0290   0.0700
  10.3000   0.0041   0.0220   0.0590
  15.3000   0.0010   0.0160   0.0470
  20.0000  -0.0019   0.0090   0.0360
  24.5000  -0.0063   0.0040   0.0250
  29.6000  -0.0118  -0.0040   0.0130
  37.2000  -0.0214  -0.0190  -0.0040
  66.3000  -0.0587  -0.0960  -0.1010
  90.0000  -0.0458  -0.0710  -0.0970
 113.7000  -0.0530  -0.1090  -0.1540
 131.3000  -0.0460  -0.0850  -0.1360
 142.8000  -0.0330  -0.0660  -0.1180
 150.4000  -0.0240  -0.0490  -0.1070
 155.5000  -0.0180  -0.0490  -0.0990
 164.7000  -0.0110  -0.0310  -0.0610
 169.7000  -0.0080  -0.0220  -0.0660
 180.0000  -0.0060  -0.0320  -0.0730

